# -------------------------------------------------------
あおせ	A.O.C.	AOC名や地名
えいおーぴー	A.O.P.	AOC名や地名
えいおーしー	A.O.C.	AOC名や地名
えいゔいえい	A.V.A.	AOC名や地名
あいじーぴー	I.G.P.	AOC名や地名
あいじーてぃー	I.G.T.	AOC名や地名
でぃーおー	D.O.	AOC名や地名
でぃーおーしー	D.O.C.	AOC名や地名
でぃーおーしーしーあいびー	D.O.C.-CIB	AOC名や地名
でぃーおーしーしーえむでぃー	D.O.C.-CMD	AOC名や地名
でぃーおーしーしーえむてぃー	D.O.C.-CMT	AOC名や地名
でぃーおーしーしーてぃー	D.O.C.-CT	AOC名や地名
でぃーおーしーじー	D.O.C.G.	AOC名や地名
でぃーおーしーえい	D.O.Ca.	AOC名や地名
でぃーおーぴー	D.O.P.	AOC名や地名
でぃーおー	DO	AOC名や地名
じーしーでぃーおー	G.C.D.O.	AOC名や地名
じーでぃーおー	G.D.O.	AOC名や地名
ぴーでぃーおー	P.D.O.	AOC名や地名
だぶりゅーおー	W.O.	AOC名や地名
げんさんちこしょう	原産地呼称	AOC名や地名
げんさんちこしょうかんりほう	原産地呼称管理法	AOC名や地名
げんさんちこしょうせいど	原産地呼称制度	AOC名や地名
げんさんちこしょうとうせい	原産地呼称統制	AOC名や地名
げんさんちこしょうとうせいせいど	原産地呼称統制制度	AOC名や地名
げんさんちこしょうひょうじ	原産地呼称表示	AOC名や地名
げんさんちこしょうほご	原産地呼称保護	AOC名や地名
げんさんちこしょうほう	原産地呼称法	AOC名や地名
げんさんちとうせいこしょう	原産地統制呼称	AOC名や地名
げんさんちひょうき	原産地表記	AOC名や地名
げんさんちひょうきつき	原産地表記付	AOC名や地名
げんさんちひょうじ	原産地表示	AOC名や地名
げんさんちほご	原産地保護	AOC名や地名
げんさんちめい	原産地名	AOC名や地名
げんさんちめいしょうほご	原産地名称保護	AOC名や地名
げんていてきせいさんちいき	限定的生産地域	AOC名や地名
げんていてきせいさんちいきめい	限定的生産地域名	AOC名や地名
さんち	産地	AOC名や地名
さんちこしょうほご	産地呼称保護	AOC名や地名
さんちめい	産地名	AOC名や地名
さんちめいこしょう	産地名呼称	AOC名や地名
さんちめいしょう	産地名称	AOC名や地名
あい	Aÿ	AOC名や地名
あべいどぅもん	Abbaye de Mont	AOC名や地名
あこんかぐあ	Aconcagua	AOC名や地名
あこんかぐあゔぁれー	Aconcagua Valley	AOC名や地名
あでれいでひるず	Adelaide Hills	AOC名や地名
ありあにこでるたぶるの	Aglianico del Taburno	AOC名や地名
ありあにこでるゔるとぅれすぺりおーれ	Aglianico del Vulture Superiore	AOC名や地名
あーる	Ahr	AOC名や地名
あれんてーじょ	Alentejo	AOC名や地名
あれくさんだーゔぁれー	Alexander Valley	AOC名や地名
ありそすきゃにおん	Alisos Canyon	AOC名や地名
あろーすこるとん	Aloxe-Corton	AOC名や地名
あるざす	Alsace	AOC名や地名
あるざすぐらんくりゅ	Alsace Grand Cru	AOC名や地名
あるたらんが	Alta Langa	AOC名や地名
あまろーね	Amarone	AOC名や地名
あまろーねでっらゔぁるぽりちぇっら	Amarone della Valpolicella	AOC名や地名
あんだーそんゔぁれー	Anderson Valley	AOC名や地名
あんじゅーぶりさっく	Anjou Brissac	AOC名や地名
あんじゅーゔぃらーじゅ	Anjou Villages	AOC名や地名
あぱらちあんふっとひるず	Appalachian Foothills	AOC名や地名
あぺらしおんおりじーぬこんとろーれ	Appellation d'Origine Contrôlée	AOC名や地名
あるぼわ	Arbois	AOC名や地名
あるぜんちん	Argentina	AOC名や地名
あぞーろぷろせっこ	Asolo Prosecco	AOC名や地名
あたかま	Atacama	AOC名や地名
おーすとらりあ	Australia	AOC名や地名
あわてれゔぁれー	Awatere Valley	AOC名や地名
ばーでん	Baden	AOC名や地名
ばにゅるすぐらんくりゅ	Banyuls Grand Cru	AOC名や地名
ばにゅるすぐらんくりゅおーるだーじゅ	Banyuls Grand Cru hors d'âge	AOC名や地名
ばにゅるすぐらんくりゅらんしお	Banyuls Grand Cru Rancio	AOC名や地名
ばるばれすこ	Barbaresco	AOC名や地名
ばるべーらでるもんふぇっらーと	Barbera del Monferrato	AOC名や地名
ばるべーらでるもんふぇっらーとすぺりおーれ	Barbera del Monferrato Superiore	AOC名や地名
ばるどりーのすぺりおーれ	Bardolino Superiore	AOC名や地名
ばろーろ	Barolo	AOC名や地名
ばろーろりぜるゔぁ	Barolo Riserva	AOC名や地名
ばろっさ	Barossa	AOC名や地名
ばろっさゔぁれー	Barossa Valley	AOC名や地名
ばめどっく	Bas Médoc	AOC名や地名
べありゔぁー	Bear River	AOC名や地名
ぼーじょれ	Beaujolais	AOC名や地名
ぼーじょれぬーゔぉー	Beaujolais Nouveau	AOC名や地名
ぼーじょれゔぃらーじゅ	Beaujolais Villages	AOC名や地名
ぼーじょれちく	Beaujolais地区	AOC名や地名
べねっとゔぁれー	Bennett Valley	AOC名や地名
びえるそ	Bierzo	AOC名や地名
びにされむ	Binissalem	AOC名や地名
ぶらっくしー	Black Sea	AOC名や地名
ぶるーまうんてん	Blue Mountain	AOC名や地名
びおびおゔぁれー	Bío Bío Valley	AOC名や地名
ぼるどー	Bordeaux	AOC名や地名
ぶりーどりゔぁーゔぁれー	Breede River Valley	AOC名や地名
ぶりっじぱとらいあんぐる	Bridge Pa Triangle	AOC名や地名	
かちゃぽあるゔぁれー	Cachapoal Valley	AOC名や地名
からどっく	Caladoc	AOC名や地名
けいぷどくたー	Cape Doctor	AOC名や地名
けーぷどくたー	Cape Doctor	AOC名や地名
けいぷさうすこーすと	Cape South Coast	AOC名や地名
けーぷさうすこーすと	Cape South Coast	AOC名や地名
かーねろす	Carneros	AOC名や地名
かさぶらんかゔぁれー	Casablanca Valley	AOC名や地名
かすてるでるもんて	Castel del Monte	AOC名や地名
かすてるでるもんてねーろでぃとろいありぜるゔぁ	Castel del Monte Nero di Troia Riserva	AOC名や地名
かすてるでるもんてろっそりぜるゔぁ	Castel del Monte Rosso Riserva	AOC名や地名
かすてっりでぃいえーじゔぇるでぃっきおりぜるゔぁ	Castelli di Jesi Verdicchio Riserva	AOC名や地名
かうてぃんゔぁれー	Cautin Valley	AOC名や地名
かば	Cava	AOC名や地名
かばでぐあるだ	Cava de Guarda	AOC名や地名
かばでぱらへかりふぃかーど	Cava de Paraje Calificado	AOC名や地名
かばぐらんりぜるゔぁ	Cava Gran Reserva	AOC名や地名
かばりぜるゔぁ	Cava Reserva	AOC名や地名
かゆがれいく	Cayuga Lake	AOC名や地名
せんとらるこーすと	Central Coast	AOC名や地名
せんとらるほーくずべい	Central Hawke's Bay	AOC名や地名
せんとらるゔぁれー	Central Valley	AOC名や地名
しゃぶりぐらんくりゅ	Chablis Grand Cru	AOC名や地名
しゃぶりぷるみえくりゅ	Chablis Premier Cru	AOC名や地名
ちゃこりでげたりあ	Chacolí de Getaria	AOC名や地名
ちょーくひる	Chalk Hill	AOC名や地名
しゃんぱーにゅ	Champagne	AOC名や地名
しゃんぱーにゅぐらんくりゅ	Champagne Grand Cru	AOC名や地名
しゃんぱーにゅちほう	Champagne地方	AOC名や地名
しゃんぷれいんゔぁれーおゔにゅーよーく	Champlain Valley of New York	AOC名や地名
きあんてぃ	Chianti	AOC名や地名
きあんてぃくらっしこ	Chianti Classico	AOC名や地名
ちり	Chile	AOC名や地名
ちゃいるずゔぁれー	Chiles Valley	AOC名や地名
ちょあぱゔぁれー	Choapa Valley	AOC名や地名
しとらすだるまうんてん	Citrusdal Mountain	AOC名や地名
しとらすだるゔぁれー	Citrusdal Valley	AOC名や地名
くれれっとでゅらんぐどっく	Clairette du Languedoc	AOC名や地名	*
っられゔぁれー	Clare Valley	AOC名や地名
っらっせめんっほっっめどっ	Classement hors Médoc	AOC名や地名
っらっせめんっめどかいん	Classement Médocain	AOC名や地名
っろっでっあっばいぇっ	Clos des Abbayes	AOC名や地名
こんっりえう	Condrieu	AOC名や地名
こあったるりーじょん	Coastal Region	AOC名や地名
こるしゃぐあゔぁれー	Colchagua Valley	AOC名や地名
こるんびあゔぁれー	Columbia Valley	AOC名や地名
こぴあぽゔぁれー	Copiapó Valley	AOC名や地名
こってせぢがゔぃ	Cortese di Gavi	AOC名や地名
かうんてぃ	County	AOC名や地名
っろあちあ	Croatia	AOC名や地名
っるっ	Crus	AOC名や地名
っるっづぼじょらいっ	Crus du Beaujolais	AOC名や地名
っるっう	Crush	AOC名や地名
くりこゔぁれー	Curicó Valley	AOC名や地名
だっにぼれ	Darnibole	AOC名や地名
でひっりんっ	Dehilling	AOC名や地名
でうっしえめっくりゅ	Deuxièmes Cru	AOC名や地名
ぢあもんっまうんてんでぃすとりくと	Diamond Mountain District	AOC名や地名
でぃすとりくと	District	AOC名や地名
でぃすとりくとうぃねっ	District Wines	AOC名や地名
ぢっっりっつっふんがりくっこんっろっらつっ	Districtus Hungaricus Controllatus	AOC名や地名
だお	Dão	AOC名や地名
でぃーおーてじょ	Do Tejo	AOC名や地名
どくたー	Doctor	AOC名や地名
どうろ	Douro	AOC名や地名
どうろがわ	Douro川	AOC名や地名
っっっっれえっゔぁれー	Dry Creek Valley	AOC名や地名
づんでえひるず	Dundee Hills	AOC名や地名
えでんゔぁれー	Eden Valley	AOC名や地名
えるどらど	El Dorado	AOC名や地名
えるきゔぁれー	Elqui Valley	AOC名や地名
えんっるざど	Encruzado	AOC名や地名
えっな	Etna	AOC名や地名
ふぇるっまぎゃろっっざっ	Felső-Magyarország	AOC名や地名
ふぃあのぢあゔぇっりの	Fiano di Avellino	AOC名や地名
ふぃんげっらけっ	Finger Lakes	AOC名や地名
ふぉっっろっっせあゔぃえっ	Fort Ross-Seaview	AOC名や地名
っらんせ	France	AOC名や地名
っらんけん	Franken	AOC名や地名
っらんっっっほえっゔぁれー	Franschhoek Valley	AOC名や地名
っらっかちすぺりおーれ	Frascati Superiore	AOC名や地名
っらせっゔぁれー	Fraser Valley	AOC名や地名
っれまんっれどくたー	Fremantle Doctor	AOC名や地名
げおっぎあ	Georgia	AOC名や地名
げゔゅるつとらみねーるせれっちおんでっらいんっのっれっ	Gewürztraminer Sélection de Grains Nobles	AOC名や地名
ぎっっっとんゔぁれー	Gibbston Valley	AOC名や地名
ぎんっれっっっらゔぇるっでぃすとりくと	Gimblett Gravels District	AOC名や地名
ごうるぶっんゔぁれー	Goulburn Valley	AOC名や地名
ぐらんくりゅ	Grand Cru	AOC名や地名
っらんっっくりゅっらっせっ	Grands Cru Classés	AOC名や地名
っれこぢつふぉ	Greco di Tufo	AOC名や地名
っれえせ	Greece	AOC名や地名
ぐるっいっらんっっ	Gulf Islands	AOC名や地名
はっちんっっりゔぁー	Hastings River	AOC名や地名
はうっめどっ	Haut-Médoc	AOC名や地名
はっけっばっ	Hawke's Bay	AOC名や地名
へんっっっけひるおっっらせ	Henschke Hill of Grace	AOC名や地名
ひるおっっらせ	Hill of Grace	AOC名や地名
ひっりんっ	Hilling	AOC名や地名
ほっせへあゔぇんひるず	Horse Heaven Hills	AOC名や地名
ほっえっるまうんてん	Howell Mountain	AOC名や地名
ふあっこゔぁれー	Huasco Valley	AOC名や地名
ふっそんりゔぁーりーじょん	Hudson River Region	AOC名や地名
ふんがっっ	Hungary	AOC名や地名
ふんてっゔぁれー	Hunter Valley	AOC名や地名
いんらんっゔぁっれっっ	Inland Valleys	AOC名や地名
いおにあんいっらんっっ	Ionian Islands	AOC名や地名
いたるっ	Italy	AOC名や地名
いたたゔぁれー	Itata Valley	AOC名や地名
へれすへれすしぇっっっ	Jerez-Xérès-Sherry	AOC名や地名
ふみっら	Jumilla	AOC名や地名
じゅら	Jura	AOC名や地名
っにっっっっゔぁれー	Knights Valley	AOC名や地名
こしゅ	Koshu	AOC名や地名
らっらた	La Plata	AOC名や地名
れいく	Lake	AOC名や地名
れいくこうんっっっ	Lake Country	AOC名や地名
れいくかうんてぃ	Lake County	AOC名や地名
れいくどくたー	Lake Doctor	AOC名や地名
れいくえりえ	Lake Erie	AOC名や地名
れいくえりえのっっうしょれ	Lake Erie North Shore	AOC名や地名
れいくさいんっぴえっれ	Lake Saint-Pierre	AOC名や地名
らんっるっこぢそっばら	Lambrusco di Sorbara	AOC名や地名
らんげどっ	Languedoc	AOC名や地名
らんげどっろうっしっろん	Languedoc-Roussillon	AOC名や地名
らうれるをおっでぃすとりくと	Laurelwood District	AOC名や地名
らゔぉ	Lavaux	AOC名や地名
れうぃっっらっっゔぁれー	Lewis-Clark Valley	AOC名や地名
れっだゔぁれー	Leyda Valley	AOC名や地名
りまりゔぁれー	Limarí Valley	AOC名や地名
りめっとねこーすと	Limestone Coast	AOC名や地名
りっっらっめどっ	Listrac-Médoc	AOC名や地名
ろぢ	Lodi	AOC名や地名
ろんっいっらんっ	Long Island	AOC名や地名
ろんつえゔぁれー	Lontué Valley	AOC名や地名
ろっかっねろっ	Los Carneros	AOC名や地名
まいぽゔぁれー	Maipo Valley	AOC名や地名
まっれこゔぁれー	Malleco Valley	AOC名や地名
まんざにっらさんるかっでばっらめだ	Manzanilla-Sanlúcar de Barrameda	AOC名や地名
まっがれっりゔぁー	Margaret River	AOC名や地名
まっるぼろうっう	Marlborough	AOC名や地名
まうれゔぁれー	Maule Valley	AOC名や地名
めどっく	Médoc	AOC名や地名
めんどしーの	Mendocino	AOC名や地名
めんどしーのかうんてぃ	Mendocino County	AOC名や地名
めんどーさ	Mendoza	AOC名や地名
めっろっでるちしの	Merlot del Ticino	AOC名や地名
もんたるちーの	Montalcino	AOC名や地名
もんてれっかうんてぃ	Monterey County	AOC名や地名
もおんまうんてんでぃすとりくと	Moon Mountain District	AOC名や地名
もれさんどに	Morey-Saint-Denis	AOC名や地名
もーぜる	Mosel	AOC名や地名
もうてれひるず	Moutere Hills	AOC名や地名
んっぴっがうぽるっかうんてぃおれごん	Mt.Pisgah, Polk County, Oregon	AOC名や地名
むっかっでぼめっでゔぇにせ	Muscat de Beaumes de Venise	AOC名や地名
むっかっでるねる	Muscat de Lunel	AOC名や地名
むっかっでみれゔぁる	Muscat de Mireval	AOC名や地名
むっかっづかっこっせ	Muscat du Cap Corse	AOC名や地名
みゅすかせれくてぃおんどぐらんのーぶる	Muscat Sélection de Grains Nobles	AOC名や地名
なーえ	Nahe	AOC名や地名
なぱ	Napa	AOC名や地名
なぱかうんてぃ	Napa County	AOC名や地名
なぱゔぁれー	Napa Valley	AOC名や地名
なばっら	Navarra	AOC名や地名
にゅーじーらんど	New Zealand	AOC名や地名
ないあがられいくしょあ	Niagara Lakeshore	AOC名や地名
ないあがらまうんてん	Niagara Mountains	AOC名や地名
ないあがらりゔぁー	Niagara River	AOC名や地名
ないあがらおんざれいく	Niagara-on-the-Lake	AOC名や地名
のーすこーすと	North Coast	AOC名や地名
のーすふぉーくおゔろんぐあいらんど	North Fork of Long Island	AOC名や地名
おかながんゔぁれー	Okanagan Valley	AOC名や地名
おりふぁんっっりゔぁー	Olifants River	AOC名や地名
おそっのゔぁれー	Osorno Valley	AOC名や地名
ぱそろっれっ	Paso Robles	AOC名や地名
ぺっっうひるず	Perth Hills	AOC名や地名
っふぁるっ	Pfalz	AOC名や地名
っらゔぁっまり	Plavac Mali	AOC名や地名
ぽぢうるっらんしるゔぁにえい	Podişul Transilvaniei	AOC名や地名
ぽりっうひるりゔぁーわてっゔぁれ	Polish Hill River, Watervale	AOC名や地名
ぽっつがる	Portugal	AOC名や地名
ぷるみえくりゅ	Premier Cru	AOC名や地名
ぷるみえくりゅすぺりえうっ	Premier Cru Supérieur	AOC名や地名
ぷるみえぐらんくりゅ	Premier Grand Cru	AOC名や地名
ぷるみえぐらんくりゅっらっせ	Premier Grand Cru Classé	AOC名や地名
ぷるみえっっくりゅ	Premiers Cru	AOC名や地名
ぷるみえっっっらんっっくりゅっらっせっ	Premiers Grands Cru Classés	AOC名や地名
っりみちゔぉぢまんづりあどるせなつられ	Primitivo di Manduria Dolce Naturale	AOC名や地名
ぷりんすえどぁっっかうんてぃ	Prince Edward County	AOC名や地名
っりおらと	Priorato	AOC名や地名
っろゔぇんせ	Provence	AOC名や地名
ぷげっそうんっ	Puget Sound	AOC名や地名
ぷりんっっもんっらしぇっ	Puligny-Montrachet	AOC名や地名
